Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes,magnification ratio,entrance pupil
,Vespid II,18mm,1.9,"10""",46.5mm,80mm,77mm,766g,80mm,PL,10,,,
,,24mm,1.9,"12""",46.5mm,80mm,77mm,776g,80mm,PL,10,,,
,,35mm,1.9,"12""",46.5mm,80mm,77mm,800g,80mm,PL,10,,,
,,50mm,1.9,"1' 8""",46.5mm,80mm,77mm,836g,80mm,PL,10,,,
,,85mm,1.9,"2' 5""",46.5mm,80mm,77mm,865g,80mm,PL,10,,,
,,105mm,1.9,3',46.5mm,80mm,77mm,833g,80mm,PL,10,,,
,,,,,,,,,,,,,,
,Gnosis (macro),32mm,2.8,"6.6""",46.5mm,114mm,105mm,1460g,112mm,LPL / PL / EF,16,,,
,,65mm,2.8,"9.4""",46.5mm,114mm,105mm,1450g,112mm,LPL / PL / EF,16,,,
,,90mm,2.8,"10.2""",46.5mm,114mm,105mm,1280g,112mm,LPL / PL / EF,16,,,
,,,,,,,,,,,,,,
Dulens,APO Miniprime,21mm,,,>43.3mm,80mm,72mm,,,PL / EF,11,,,
,,25mm,,,>43.3mm,80mm,72mm,,,PL / EF,11,,,
,,31mm,2.4,"1' 10""",>43.3mm,80mm,72mm,539g,67mm,PL / EF,11,,,
,,43mm,2.4,"1' 10""",>43.3mm,80mm,72mm,498g,67mm,PL / EF,11,,,
,,58mm,2.4,"2' 3""",>43.3mm,80mm,72mm,509g,67mm,PL / EF,11,,,
,,85mm,2.4,"2' 9""",>43.3mm,80mm,72mm,529g,67mm,PL / EF,11,,,
,,120mm,,,>43.3mm,80mm,72mm,,,PL / EF,11,,,
,,,,,,,,,,,,,,
Gecko Cam,Genesis G35,14.5mm,3.0,"11.5""",46.3mm,114mm,,1100g,95mm,PL / LPL,9,,,
,,16mm,2.4,"12""",46.3mm,114mm,,1200g,128mm,PL / LPL,11,,,
,,20mm,1.8,"8""",46.3mm,114mm,,1200g,128mm,PL / LPL,11,,,
,,25mm,1.4,"10""",46.3mm,114mm,,1200g,128mm,PL / LPL,11,,,
,,35mm,1.4,"13""",46.3mm,114mm,,1300g,128mm,PL / LPL,11,,,
,,50mm,1.4,"1' 6""",46.3mm,114mm,,1100g,128mm,PL / LPL,11,,,
