manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
,,25 - 75mm,2.9,"2' 6""",36mm,95mm,82mm,,173.5mm,PL / EF / E / F / MFT,9,
,,50 - 135mm,3.0,"3' 4""",30mm,114mm,112mm,1530g,142mm,PL / EF / E / F / MFT,9,MKI
,,50 - 135mm,2.9,"4' 6""",30mm,95mm,,1400g,,PL / EF,9,MKII
,,,,,,,,,,,,
Van Diemen,Canon,17 - 35mm,,,,,,,,,,
,Pentax,250 - 600mm,f/5.6,,,,,,,,,
,Nikkor,50 - 300mm,f/5.6,,,,,,,,,
,,,,,,,,,,,,
Zeiss,LWZ.2,15.5 - 45mm,2.6,"18""",31.1mm,114mm,,2000g,209mm,PL / EF / MFT,9,
,LWZ.3,21 - 100mm,2.9 - 3.9,"2' 8""",31.1mm,114mm,,2000g,226mm,PL / EF / F / MFT,11,
,,,,,,,,,,,,
Zunow,,14 - 25mm,2.6,"11""",28.3mm,95mm,,1630g,190mm,PL,,
